Database of Origin,Western Washington University
Sample Description,Namibia Sands
Date Added,2018-02-05 20:26:03.189219

Data ID,WWU_NMB_01          
Sample ID,NMB_01
Mineral Name,Coarse inter-barchan ripple crest
Locality,"Lat: -24.1000459716, Long: 14.6472020354"
Viewing Geometry,0/23
Composition,Quartz sand w/ ferric coatings

Wavelength
1352.0,0.448678762
1353.0,0.448586881
1354.0,0.448479772
1355.0,0.448358983
1356.0,0.448219806
1357.0,0.448076993
1358.0,0.447927713
1359.0,0.447762817
1360.0,0.447592795
1361.0,0.447396368
1362.0,0.447186649
1363.0,0.446952879
1364.0,0.446698934
1365.0,0.446424305
1366.0,0.446130335
1367.0,0.445816636
1368.0,0.445497245
1369.0,0.445132315
1370.0,0.444738656
1371.0,0.444318473
1372.0,0.44388333
1373.0,0.44338876
1374.0,0.442866027
1375.0,0.442293406
1376.0,0.441671848
1377.0,0.440991253
1378.0,0.440279573
1379.0,0.439528406
1380.0,0.438743562
1381.0,0.437925428
1382.0,0.437052786
1383.0,0.436136633
1384.0,0.435190648
1385.0,0.434195757
1386.0,0.433172882
1387.0,0.43210566
1388.0,0.431041867
1389.0,0.429943234
1390.0,0.428844512
1391.0,0.427736819
1392.0,0.426635325
1393.0,0.425492644
1394.0,0.424401999
1395.0,0.423326105
1396.0,0.42228809
1397.0,0.421282679
1398.0,0.420301944
1399.0,0.419380784
1400.0,0.41848287
1401.0,0.417673081
1402.0,0.416918337
1403.0,0.416235536
1404.0,0.41560781
1405.0,0.4150711
1406.0,0.414600372
1407.0,0.414215177
1408.0,0.413907319
1409.0,0.413687319
1410.0,0.413541019
1411.0,0.41348514
1412.0,0.413524926
1413.0,0.413633674
1414.0,0.413827032
1415.0,0.414084435
1416.0,0.414428651
1417.0,0.414815843
1418.0,0.415268153
1419.0,0.415767282
1420.0,0.416324288
1421.0,0.416917235
1422.0,0.417553663
1423.0,0.418252409
1424.0,0.418944657
1425.0,0.419673026
1426.0,0.420395195
1427.0,0.421128482
1428.0,0.421868056
1429.0,0.422634035
1430.0,0.423365772
1431.0,0.424102217
1432.0,0.42480877
1433.0,0.425498396
1434.0,0.426158398
1435.0,0.42679882
1436.0,0.427415848
1437.0,0.428011507
1438.0,0.428572416
1439.0,0.429112226
1440.0,0.429619581
1441.0,0.430086821
1442.0,0.430532932
1443.0,0.430950075
1444.0,0.431349605
1445.0,0.431729734
1446.0,0.432081431
1447.0,0.432409078
1448.0,0.432710826
1449.0,0.433007061
1450.0,0.433276653
1451.0,0.433545083
1452.0,0.433807015
1453.0,0.434061885
1454.0,0.434302896
1455.0,0.434540421
1456.0,0.434772372
1457.0,0.435003579
1458.0,0.435224175
1459.0,0.435449094
1460.0,0.435679674
1461.0,0.435902268
1462.0,0.43611455
1463.0,0.43633604
1464.0,0.436563075
1465.0,0.436782688
1466.0,0.437005967
1467.0,0.437222719
1468.0,0.437417656
1469.0,0.43763423
1470.0,0.437857628
1471.0,0.438088328
1472.0,0.438337475
1473.0,0.43858397
1474.0,0.43882826
1475.0,0.43908149
1476.0,0.439340293
1477.0,0.439603627
1478.0,0.439871639
1479.0,0.440153062
1480.0,0.44041881
1481.0,0.440679371
1482.0,0.440945536
1483.0,0.44120425
1484.0,0.441474676
1485.0,0.441761464
1486.0,0.442030191
1487.0,0.442285925
1488.0,0.442560852
1489.0,0.442840755
1490.0,0.443114787
1491.0,0.443403989
1492.0,0.443679363
1493.0,0.443935394
1494.0,0.444202095
1495.0,0.444476217
1496.0,0.444743395
1497.0,0.4450064
1498.0,0.445271522
1499.0,0.445541412
1500.0,0.445799261
1501.0,0.446044445
1502.0,0.446300596
1503.0,0.446549892
1504.0,0.446806371
1505.0,0.447086632
1506.0,0.447349966
1507.0,0.447604388
1508.0,0.447856605
1509.0,0.448103338
1510.0,0.448339432
1511.0,0.44858104
1512.0,0.448826551
1513.0,0.449057519
1514.0,0.449281842
1515.0,0.44950524
1516.0,0.449716836
1517.0,0.449937195
1518.0,0.450163931
1519.0,0.450381547
1520.0,0.450600058
1521.0,0.45080772
1522.0,0.451001614
1523.0,0.451206088
1524.0,0.451408267
1525.0,0.45161283
1526.0,0.451825202
1527.0,0.452032179
1528.0,0.45223707
1529.0,0.452438861
1530.0,0.452638507
1531.0,0.452837914
1532.0,0.453030348
1533.0,0.453229398
1534.0,0.453434408
1535.0,0.453635395
1536.0,0.453844368
1537.0,0.454039186
1538.0,0.454222649
1539.0,0.454407334
1540.0,0.454587281
1541.0,0.454761565
1542.0,0.454924345
1543.0,0.455099791
1544.0,0.455280155
1545.0,0.455455035
1546.0,0.455652177
1547.0,0.455824047
1548.0,0.455980629
1549.0,0.456108838
1550.0,0.456276298
1551.0,0.456448883
1552.0,0.456607848
1553.0,0.45678407
1554.0,0.45694384
1555.0,0.457076997
1556.0,0.457227498
1557.0,0.457393676
1558.0,0.457544565
1559.0,0.45768109
1560.0,0.45783174
1561.0,0.457984626
1562.0,0.458143324
1563.0,0.458312273
1564.0,0.458471924
1565.0,0.458635837
1566.0,0.458788127
1567.0,0.458926409
1568.0,0.459076256
1569.0,0.459231883
1570.0,0.45937416
1571.0,0.459518254
1572.0,0.459652781
1573.0,0.459767103
1574.0,0.459893793
1575.0,0.460026354
1576.0,0.460153103
1577.0,0.460278094
1578.0,0.460404158
1579.0,0.460529178
1580.0,0.460651696
1581.0,0.460771233
1582.0,0.460896075
1583.0,0.461025059
1584.0,0.461146027
1585.0,0.461263686
1586.0,0.46138677
1587.0,0.461506724
1588.0,0.461625963
1589.0,0.461755663
1590.0,0.461875886
1591.0,0.461977899
1592.0,0.462095141
1593.0,0.462222755
1594.0,0.462343752
1595.0,0.462469965
1596.0,0.462593317
1597.0,0.462715328
1598.0,0.462828189
1599.0,0.462924302
1600.0,0.463039607
1601.0,0.463171214
1602.0,0.463282287
1603.0,0.463400275
1604.0,0.463508993
1605.0,0.463582188
1606.0,0.463671267
1607.0,0.463775128
1608.0,0.46387279
1609.0,0.463969827
1610.0,0.464068711
1611.0,0.464164615
1612.0,0.464252055
1613.0,0.464358568
1614.0,0.464479983
1615.0,0.464573801
1616.0,0.464667946
1617.0,0.464753032
1618.0,0.464807957
1619.0,0.464900643
1620.0,0.465017468
