Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.862613

Data ID,Albite_M1280        
Sample ID,M1280
Mineral Name,Albite
Locality,USA

Wavelength
788.0,0.429964066
789.0,0.430051863
790.0,0.43013671
791.0,0.430211782
792.0,0.430268466
793.0,0.430343807
794.0,0.430447429
795.0,0.430558383
796.0,0.430604279
797.0,0.430655211
798.0,0.430731475
799.0,0.430757433
800.0,0.430800021
801.0,0.430867881
802.0,0.430943429
803.0,0.430975556
804.0,0.431034476
805.0,0.431121081
806.0,0.431201786
807.0,0.431220412
808.0,0.431254387
809.0,0.431314886
810.0,0.431365073
811.0,0.43141076
812.0,0.431451023
813.0,0.4314861
814.0,0.431517392
815.0,0.43153584
816.0,0.431550235
817.0,0.431563139
818.0,0.431558371
819.0,0.431545615
820.0,0.431532919
821.0,0.43153432
822.0,0.431589395
823.0,0.431618541
824.0,0.431599766
825.0,0.431554884
826.0,0.431554794
827.0,0.431560278
828.0,0.431548655
829.0,0.431518435
830.0,0.431469709
831.0,0.431434631
832.0,0.431414306
833.0,0.431368232
834.0,0.431339741
835.0,0.431315958
836.0,0.43127951
837.0,0.431227446
838.0,0.431178153
839.0,0.431132853
840.0,0.431083798
841.0,0.431010604
842.0,0.430961698
843.0,0.430929095
844.0,0.43088001
845.0,0.430801719
846.0,0.430713236
847.0,0.430637151
848.0,0.43058607
849.0,0.430504382
850.0,0.430389911
851.0,0.430284619
852.0,0.430252463
853.0,0.430151761
854.0,0.430032462
855.0,0.429948062
856.0,0.429906756
857.0,0.429820269
858.0,0.429712534
859.0,0.429617763
860.0,0.429534823
861.0,0.429404825
862.0,0.429269612
863.0,0.429175228
864.0,0.429087013
865.0,0.428968757
866.0,0.428846985
867.0,0.428746909
868.0,0.428563833
869.0,0.428425252
870.0,0.428345829
871.0,0.428268194
872.0,0.428152889
873.0,0.428032547
874.0,0.427904755
875.0,0.427746624
876.0,0.427621484
877.0,0.427497238
878.0,0.427351445
879.0,0.427188665
880.0,0.427079707
881.0,0.426967651
882.0,0.426828116
883.0,0.426702023
884.0,0.426550329
885.0,0.426402748
886.0,0.426272511
887.0,0.426125973
888.0,0.42595759
889.0,0.425825506
890.0,0.425739259
891.0,0.425580621
892.0,0.425462365
893.0,0.425362378
894.0,0.425227195
895.0,0.425020695
896.0,0.424846947
897.0,0.424713105
898.0,0.424573809
899.0,0.424325317
900.0,0.42416364
901.0,0.424075276
902.0,0.423960716
903.0,0.423744112
904.0,0.423562616
905.0,0.423436135
906.0,0.423313618
907.0,0.423112482
908.0,0.422961533
909.0,0.422843456
910.0,0.422671467
911.0,0.422447354
912.0,0.422271103
913.0,0.422115624
