Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
871.0,0.01014483681
872.0,0.01014786121
873.0,0.01015150182
874.0,0.01015360064
875.0,0.01015556535
876.0,0.01015827133
877.0,0.0101604376
878.0,0.01016239655
879.0,0.01016446739
880.0,0.01016693231
881.0,0.01017002994
882.0,0.01017231963
883.0,0.01017459038
884.0,0.01017788628
885.0,0.01018072144
886.0,0.01018384786
887.0,0.01018691997
888.0,0.01018925491
889.0,0.01019195925
890.0,0.01019404982
891.0,0.01019632717
892.0,0.01020038411
893.0,0.01020175068
894.0,0.01020311477
895.0,0.01020521606
896.0,0.01020605608
897.0,0.01020848152
898.0,0.010211603
899.0,0.0102146858
900.0,0.01021817503
901.0,0.01022056921
902.0,0.01022201887
903.0,0.01022356974
904.0,0.01022715032
905.0,0.01023010147
906.0,0.01023204397
907.0,0.01023361869
908.0,0.01023625064
909.0,0.01023915902
910.0,0.01024157459
911.0,0.01024307774
912.0,0.01024438589
913.0,0.01024657191
914.0,0.01024882623
915.0,0.01025013355
916.0,0.01025306087
917.0,0.0102564448
918.0,0.01025881017
919.0,0.01025949963
920.0,0.01026280293
921.0,0.01026521356
922.0,0.01026636457
923.0,0.01026837534
924.0,0.01026932067
925.0,0.0102702734
926.0,0.01027152974
927.0,0.01027239937
928.0,0.010272907
929.0,0.01027296047
930.0,0.01027392473
931.0,0.01027814539
932.0,0.0102792602
933.0,0.010279651
934.0,0.01028105706
935.0,0.0102822706
936.0,0.0102833665
937.0,0.01028453231
938.0,0.010285773
939.0,0.01028676358
940.0,0.01028848558
941.0,0.01029046921
942.0,0.01029209412
943.0,0.01029316944
944.0,0.01029382599
945.0,0.01029323525
946.0,0.01029218462
947.0,0.01029510124
948.0,0.01029650154
949.0,0.01029668748
950.0,0.01029690632
951.0,0.01029658875
952.0,0.01029620865
953.0,0.01029690468
954.0,0.01029836751
955.0,0.01029617491
956.0,0.01029495314
957.0,0.01029374701
958.0,0.01029139479
