,BLU
875.0,1.1869347
876.0,0.95831086
877.0,0.76062794
878.0,0.5092066
879.0,0.42848311
880.0,0.38960267
881.0,0.34139061
882.0,0.3021865
883.0,0.30275479
884.0,0.28706114
885.0,0.25762031
886.0,0.25019396
887.0,0.21135755
888.0,0.23575324
889.0,0.24199946
890.0,0.2385061
891.0,0.23865459
892.0,0.2356391
893.0,0.22757918
894.0,0.24332208
895.0,0.26696972
896.0,0.23739809
897.0,0.23564209
898.0,0.23617013
899.0,0.25351311
900.0,0.25031393
901.0,0.24939569
902.0,0.23756843
903.0,0.29066134
904.0,0.32146729
905.0,0.32678445
906.0,0.36237907
907.0,0.38715104
908.0,0.49728983
909.0,0.51118262
910.0,0.58550275
911.0,0.65562275
912.0,0.68760509
913.0,0.72266554
914.0,0.62495887
915.0,0.56551561
916.0,0.51440323
917.0,0.45506443
918.0,0.41307557
919.0,0.38312155
920.0,0.34372549
921.0,0.30685989
922.0,0.30056635
923.0,0.29608184
924.0,0.28439256
925.0,0.27153706
926.0,0.27985231
927.0,0.28014248
928.0,0.28964466
929.0,0.30337544
930.0,0.29277503
931.0,0.33833214
932.0,0.41505255
933.0,0.31120071
934.0,0.30448462
935.0,0.33835272
936.0,0.34128115
937.0,0.36550047
938.0,0.38725394
939.0,0.3775573
940.0,0.4097282
941.0,0.38786592
942.0,0.38212958
943.0,0.40098984
944.0,0.38914063
945.0,0.35852589
946.0,0.45380217
947.0,0.36017848
948.0,0.356307
949.0,0.34267731
950.0,0.33244252
951.0,0.32194682
952.0,0.30990897
953.0,0.30577053
954.0,0.30049635
955.0,0.2847916
956.0,0.24636345
957.0,0.27887607
958.0,0.35045957
959.0,0.2881046
960.0,0.29114839
961.0,0.28345276
962.0,0.22903396
963.0,0.28803476
964.0,0.34969972
965.0,0.30247002
966.0,0.30874046
967.0,0.31230211
968.0,0.31681948
969.0,0.33187485
970.0,0.32983214
971.0,0.32364348
972.0,0.27819845
973.0,0.27208773
974.0,0.28792306
975.0,0.28605085
976.0,0.2646077
977.0,0.26386441
978.0,0.25049436
979.0,0.24151574
980.0,0.23715556
981.0,0.22910593
982.0,0.22118701
983.0,0.20976401
984.0,0.17906716
985.0,0.1357634
986.0,0.17821514
987.0,0.16765462
988.0,0.17463265
989.0,0.2194351
990.0,0.18595546
991.0,0.16204971
992.0,0.14286317
993.0,0.1618255
994.0,0.16460898
995.0,0.1685559
996.0,0.18988932
997.0,0.20184435
998.0,0.17911069
999.0,0.18655805
1000.0,0.19095421
1001.0,0.1886143
1002.0,0.18723389
1003.0,0.17089393
1004.0,0.16088575
1005.0,0.16805937
1006.0,0.17862221
1007.0,0.18046231
1008.0,0.18994991
1009.0,0.20239039
1010.0,0.17679871
1011.0,0.17540388
1012.0,0.16770271
1013.0,0.15890474
1014.0,0.15544064
1015.0,0.14868768
1016.0,0.14672501
1017.0,0.14236104
1018.0,0.13804529
1019.0,0.13181348
1020.0,0.1193989
1021.0,0.11614039
1022.0,0.11414039
1023.0,0.11110409
1024.0,0.11158384
1025.0,0.11083903
1026.0,0.10730746
1027.0,0.10322394
1028.0,0.098187137
1029.0,0.10204561
1030.0,0.10364179
1031.0,0.097773096
1032.0,0.092013492
1033.0,0.092295131
1034.0,0.098245507
1035.0,0.099651213
1036.0,0.10164402
1037.0,0.099152498
1038.0,0.09546896
1039.0,0.095529221
1040.0,0.092836623
1041.0,0.089569625
1042.0,0.085696941
1043.0,0.08251395
1044.0,0.079413049
1045.0,0.074678637
1046.0,0.070946787
1047.0,0.067973029
1048.0,0.064420968
1049.0,0.065912451
1050.0,0.064134507
1051.0,0.057058186
1052.0,0.052945535
1053.0,0.049719421
1054.0,0.047022231
1055.0,0.04556338
1056.0,0.044198319
1057.0,0.041806377
1058.0,0.039499623
1059.0,0.036359626
1060.0,0.034780344
1061.0,0.031381856
1062.0,0.030443909
1063.0,0.029047848
1064.0,0.028550127
1065.0,0.028929147
1066.0,0.028344994
1067.0,0.02757638
1068.0,0.026659629
1069.0,0.020535671
1070.0,0.025747877
1071.0,0.027049431
1072.0,0.02536526
1073.0,0.024307084
1074.0,0.024262419
1075.0,0.023995105
1076.0,0.024006821
1077.0,0.023295474
1078.0,0.025299457
1079.0,0.026047217
1080.0,0.02753716
1081.0,0.027877985
1082.0,0.028053775
1083.0,0.028841263
1084.0,0.026640452
1085.0,0.029694923
1086.0,0.032630671
1087.0,0.0341648
1088.0,0.038244201
1089.0,0.041778816
1090.0,0.045121708
1091.0,0.050251092
1092.0,0.054293033
1093.0,0.063063067
1094.0,0.069583766
1095.0,0.085199292
1096.0,0.10216654
1097.0,0.12540581
1098.0,0.15641998
1099.0,0.20050339
1100.0,0.27395785
