,NIR
767.0,-0.0036840568
768.0,-0.056135401
769.0,0.083304668
770.0,-0.17459164
771.0,0.14193515
772.0,0.0018562167
773.0,-0.057701359
774.0,0.0335445
775.0,0.093355055
776.0,0.060101747
777.0,0.093606566
778.0,0.19498935
779.0,-0.13215906
780.0,0.044902628
781.0,-0.17576486
782.0,0.095770549
783.0,0.046830517
784.0,0.2236446
785.0,-0.073208372
786.0,0.25292535
787.0,-0.12466217
788.0,0.20312567
789.0,0.21878093
790.0,0.20595336
791.0,0.3653827
792.0,0.40494167
793.0,0.24949439
794.0,0.1619668
795.0,0.5942311
796.0,0.061191675
797.0,0.40013662
798.0,0.16379013
799.0,0.46505984
800.0,-0.099762406
801.0,0.46611836
802.0,0.35810842
803.0,0.31583051
804.0,0.29920669
805.0,0.63651001
806.0,0.35370496
807.0,0.3438561
808.0,0.81453206
809.0,0.55389859
810.0,0.37569233
811.0,0.92161069
812.0,0.35432038
813.0,0.81474843
814.0,0.2883348
815.0,0.51959827
816.0,0.39416249
817.0,0.60443262
818.0,0.54515052
819.0,0.56751312
820.0,0.50219153
821.0,0.34429753
822.0,0.64149405
823.0,0.014688416
824.0,0.70686056
825.0,0.049269302
826.0,0.42042395
827.0,0.011058295
828.0,0.63963905
829.0,0.054723446
830.0,0.57157895
831.0,0.13622433
832.0,0.74452081
833.0,0.35627001
834.0,0.27806097
835.0,0.60759743
836.0,0.3671465
837.0,0.61696793
838.0,0.51532633
839.0,1.0649038
840.0,0.2448507
841.0,1.0087963
842.0,0.57293369
843.0,1.0547779
844.0,0.81421373
845.0,1.6234403
846.0,1.2387215
847.0,1.7151135
848.0,1.9922465
849.0,2.4580235
850.0,2.8381546
851.0,3.9326248
852.0,6.0781726
853.0,7.9567066
854.0,9.5697349
855.0,13.249132
856.0,18.78562
857.0,26.519843
858.0,39.06002
